provider,job_id,backend,status,created_at,started_at,ended_at,runtime_ms,shots,session_id,input_format,n_qubits,depth,n_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,measure_ops,gate_counts_json,qiskit_framework,critical_path_length,connected_components,num_cliffords,num_non_cliffords,num_parameters,circuit_metrics_json
ibmq,d6gvatithhns7391g1eg,ibm_pittsburgh,Completed,2026-02-27 19:50:14.591476+00:00,2026-02-27 19:50:15.978210+00:00,2026-02-27 19:50:50.220745+00:00,34242.534999999996,,,runtime_inputs,156,512,7052,5963,1089,1,24,"{""sx"": 3146, ""rz"": 2672, ""cz"": 1089, ""x"": 121, ""measure"": 24, ""barrier"": 1}",qiskit,512,1,4381,2672,0,"{""framework"": ""qiskit"", ""critical_path_length"": 512, ""connected_components"": 1, ""num_cliffords"": 4381, ""num_non_cliffords"": 2672, ""num_parameters"": 0}"
ibmq,d6gv5k1keb2s73bdvlm0,ibm_pittsburgh,Completed,2026-02-27 19:38:56.596788+00:00,2026-02-27 19:38:57.672018+00:00,2026-02-27 19:39:31.487533+00:00,33815.515,,,runtime_inputs,156,412,4738,4008,730,1,24,"{""sx"": 2200, ""rz"": 1759, ""cz"": 730, ""x"": 25, ""measure"": 24, ""barrier"": 1}",qiskit,412,1,2980,1759,0,"{""framework"": ""qiskit"", ""critical_path_length"": 412, ""connected_components"": 1, ""num_cliffords"": 2980, ""num_non_cliffords"": 1759, ""num_parameters"": 0}"
ibmq,d6gv4m9keb2s73bdvkkg,ibm_pittsburgh,Completed,2026-02-27 19:36:58.134581+00:00,2026-02-27 19:36:59.060995+00:00,2026-02-27 19:37:33.566454+00:00,34505.459,,,runtime_inputs,156,445,4747,4003,744,1,24,"{""sx"": 2209, ""rz"": 1738, ""cz"": 744, ""x"": 32, ""measure"": 24, ""barrier"": 1}",qiskit,445,1,3010,1738,0,"{""framework"": ""qiskit"", ""critical_path_length"": 445, ""connected_components"": 1, ""num_cliffords"": 3010, ""num_non_cliffords"": 1738, ""num_parameters"": 0}"
ibmq,d6gv1ae48nic73amc8b0,ibm_pittsburgh,Completed,2026-02-27 19:29:45.311504+00:00,2026-02-27 19:29:46.057064+00:00,2026-02-27 19:30:19.794150+00:00,33737.085999999996,,,runtime_inputs,156,383,4645,3945,700,1,24,"{""sx"": 2145, ""rz"": 1754, ""cz"": 700, ""measure"": 24, ""x"": 22, ""barrier"": 1}",qiskit,383,1,2892,1754,0,"{""framework"": ""qiskit"", ""critical_path_length"": 383, ""connected_components"": 1, ""num_cliffords"": 2892, ""num_non_cliffords"": 1754, ""num_parameters"": 0}"
ibmq,d6guuvn3o3rs73cabc7g,ibm_pittsburgh,Completed,2026-02-27 19:24:46.503387+00:00,2026-02-27 19:24:47.381003+00:00,2026-02-27 19:25:21.293062+00:00,33912.059,,,runtime_inputs,156,245,2919,2483,436,1,24,"{""sx"": 1354, ""rz"": 1088, ""cz"": 436, ""measure"": 24, ""x"": 17, ""barrier"": 1}",qiskit,245,1,1832,1088,0,"{""framework"": ""qiskit"", ""critical_path_length"": 245, ""connected_components"": 1, ""num_cliffords"": 1832, ""num_non_cliffords"": 1088, ""num_parameters"": 0}"
ibmq,d6gut1ithhns7391fgag,ibm_pittsburgh,Completed,2026-02-27 19:20:39.075596+00:00,2026-02-27 19:20:40.705093+00:00,2026-02-27 19:22:19.575117+00:00,98870.024,,,runtime_inputs,156,245,2919,2483,436,1,24,"{""sx"": 1354, ""rz"": 1088, ""cz"": 436, ""measure"": 24, ""x"": 17, ""barrier"": 1}",qiskit,245,1,1832,1088,0,"{""framework"": ""qiskit"", ""critical_path_length"": 245, ""connected_components"": 1, ""num_cliffords"": 1832, ""num_non_cliffords"": 1088, ""num_parameters"": 0}"
ibmq,d6gus3hkeb2s73bdv9tg,ibm_pittsburgh,Completed,2026-02-27 19:18:38.301760+00:00,2026-02-27 19:18:39.102877+00:00,2026-02-27 19:19:39.076379+00:00,59973.502,,,runtime_inputs,156,403,4707,3981,726,1,24,"{""sx"": 2181, ""rz"": 1747, ""cz"": 726, ""x"": 29, ""measure"": 24, ""barrier"": 1}",qiskit,403,1,2961,1747,0,"{""framework"": ""qiskit"", ""critical_path_length"": 403, ""connected_components"": 1, ""num_cliffords"": 2961, ""num_non_cliffords"": 1747, ""num_parameters"": 0}"
ibmq,d6gtg0n3o3rs73ca9gsg,ibm_miami,Completed,2026-02-27 17:44:34.810816+00:00,2026-02-27 17:44:35.823309+00:00,2026-02-27 17:59:55.082421+00:00,919259.112,,,runtime_inputs,120,323,4127,3595,532,1,24,"{""sx"": 1825, ""rz"": 1726, ""cz"": 532, ""measure"": 24, ""x"": 20, ""barrier"": 1}",qiskit,323,1,2402,1726,0,"{""framework"": ""qiskit"", ""critical_path_length"": 323, ""connected_components"": 1, ""num_cliffords"": 2402, ""num_non_cliffords"": 1726, ""num_parameters"": 0}"
ibmq,d6gtfnhkeb2s73bdtigg,ibm_miami,Completed,2026-02-27 17:43:58.303705+00:00,2026-02-27 17:43:59.154571+00:00,2026-02-27 17:53:12.196692+00:00,553042.1209999999,,,runtime_inputs,120,227,2705,2340,365,1,24,"{""sx"": 1219, ""rz"": 1083, ""cz"": 365, ""measure"": 24, ""x"": 14, ""barrier"": 1}",qiskit,227,1,1623,1083,0,"{""framework"": ""qiskit"", ""critical_path_length"": 227, ""connected_components"": 1, ""num_cliffords"": 1623, ""num_non_cliffords"": 1083, ""num_parameters"": 0}"
ibmq,d6gt0rhkeb2s73bdsu50,ibm_miami,Completed,2026-02-27 17:12:14.487696+00:00,2026-02-27 17:12:15.706571+00:00,2026-02-27 17:19:15.729391+00:00,420022.82,,,runtime_inputs,120,301,4032,3512,520,1,24,"{""sx"": 1771, ""rz"": 1689, ""cz"": 520, ""x"": 28, ""measure"": 24, ""barrier"": 1}",qiskit,301,1,2344,1689,0,"{""framework"": ""qiskit"", ""critical_path_length"": 301, ""connected_components"": 1, ""num_cliffords"": 2344, ""num_non_cliffords"": 1689, ""num_parameters"": 0}"
